月份,甲乙丙类总计,甲乙类传染病合计,鼠疫,霍乱,传染性非典型肺炎,艾滋病,病毒性肝炎,甲型肝炎,乙型肝炎,丙型肝炎,丁型肝炎,戊型肝炎,未分型肝炎,脊髓灰质炎,人感染高致病性禽流感,甲型H1N1流感,麻疹,流行性出血热,狂犬病,流行性乙型脑炎,登革热,炭疽,细菌性和阿米巴性痢疾,肺结核,伤寒和副伤寒,流行性脑脊髓膜炎,百日咳,白喉,新生儿破伤风,猩红热,布鲁氏菌病,淋病,梅毒,钩端螺旋体病,血吸虫病,疟疾,人感染H7N9禽流感,新型冠状病毒肺炎,丙类传染病合计,流行性感冒,流行性腮腺炎,风疹,急性出血性结膜炎,麻风病,斑疹伤寒,黑热病,包虫病,丝虫病,其他感染性腹泻病,手足口病
2008-01,,300637,0,0,0,658,129086,4809,108255,9102,,1720,5200,0,0,,12053,789,182,12,5,11,10953,111688,764,101,137,0,163,2563,837,11867,18112,9,188,459,,,68008,,,,,,,,,,,
2008-02,,261028,0,0,0,686,107688,3592,90471,7309,,1695,4621,0,3,,14631,487,139,3,2,9,9633,101689,534,162,146,0,126,961,849,8496,14336,4,96,348,,,44590,,,,,,,,,,,
2008-03,,381037,0,0,0,1162,148270,5425,123200,10825,,2593,6227,0,0,,20373,556,163,2,0,15,13431,156679,826,238,238,0,142,2198,2293,11118,22482,6,195,650,,,75172,,,,,,,,,,,
2008-04,,384501,0,0,0,1161,143377,5738,118789,10318,,2481,6051,0,0,,23559,641,175,1,9,18,18033,153978,1101,145,265,0,136,3036,3253,11544,22788,6,206,1069,,,100747,,,,,,,,,,,
2008-05,,390274,0,2,0,1162,136575,5732,113200,10286,,1863,5494,0,0,,27252,750,189,21,3,28,32392,142612,1429,69,303,0,147,4874,4040,11960,24082,19,253,2112,,,330038,,,,,,,,,,,
2008-06,,367531,0,10,0,1077,129044,5501,107306,9562,,1558,5117,0,0,,16841,940,252,183,5,52,39692,131699,1649,44,289,0,158,3740,4140,11245,23414,26,315,2716,,,241426,,,,,,,,,,,
2008-07,,394201,0,18,0,1115,146148,5446,123352,10377,,1442,5531,0,0,,9494,686,240,799,2,53,48076,136378,2086,16,279,0,143,1783,4490,12260,25744,70,434,3887,,,207698,,,,,,,,,,,
2008-08,,363877,0,28,0,1156,137349,5185,115787,9692,,1341,5344,0,0,,4992,403,235,1553,21,57,46493,122923,2069,21,239,0,179,914,3482,11498,24744,125,467,4929,,,138879,,,,,,,,,,,
2008-09,,342116,2,8,0,1057,127099,4833,106026,9626,,1209,5405,0,0,,2661,373,238,435,39,40,38758,123998,1849,34,360,0,172,1156,2255,11510,25154,344,317,4257,,,122556,,,,,,,,,,,
2008-10,,327841,0,56,0,1077,129298,4376,108840,9811,,1130,5141,0,0,,2472,850,283,112,56,25,28067,119821,1535,23,66,0,178,1713,1625,11207,24592,130,335,4320,,,125540,,,,,,,,,,,
2008-11,,299682,0,46,0,964,125130,3908,105265,10064,,1177,4716,0,0,,3422,1543,207,51,53,21,17498,110896,1255,48,67,0,166,2431,1446,10454,22231,16,303,1434,,,138134,,,,,,,,,,,
2008-12,,321336,0,0,0,1134,132114,4275,110163,11229,,1470,4977,0,1,,6471,1678,241,65,11,13,14341,121114,1312,117,125,0,161,3138,1292,11624,25259,139,258,728,,,147626,,,,,,,,,,,
2009-01,,241484,0,20,0,926,107121,2869,90569,8364,,1469,3850,0,7,,4453,749,135,2,7,22,9092,90160,649,95,57,0,106,1440,728,8107,17130,7,148,323,,,66459,,,,,,,,,,,
2009-02,,326145,0,0,0,948,143843,3797,120974,11771,,2377,4924,0,0,,5770,619,156,1,2,11,10158,127167,787,138,100,0,128,834,1774,9437,23672,7,258,335,,,58211,,,,,,,,,,,
2009-03,488707,359516,0,0,0,1356,15099385,4368,125427,12864,,2986,5348,0,0,,8644,547,146,3,4,11,13418,139986,1126,134,113,0,109,1859,3339,10259,26714,5,316,434,,,129191,8015,26484,8085,1069,132,172,55,258,0,30208,54713
