月份,甲乙丙类总计,甲乙类传染病合计,鼠疫,霍乱,传染性非典型肺炎,艾滋病,病毒性肝炎,甲型肝炎,乙型肝炎,丙型肝炎,丁型肝炎,戊型肝炎,未分型肝炎,脊髓灰质炎,人感染高致病性禽流感,甲型H1N1流感,麻疹,流行性出血热,狂犬病,流行性乙型脑炎,登革热,炭疽,细菌性和阿米巴性痢疾,肺结核,伤寒和副伤寒,流行性脑脊髓膜炎,百日咳,白喉,新生儿破伤风,猩红热,布鲁氏菌病,淋病,梅毒,钩端螺旋体病,血吸虫病,疟疾,人感染H7N9禽流感,新型冠状病毒肺炎,丙类传染病合计,流行性感冒,流行性腮腺炎,风疹,急性出血性结膜炎,麻风病,斑疹伤寒,黑热病,包虫病,丝虫病,其他感染性腹泻病,手足口病
2008-01,,567,0,0,0,102,76,0,60,12,,2,2,0,0,,18,5,148,0,0,0,3,183,0,10,0,0,9,0,0,0,12,0,0,1,,,4,,,,,,,,,,,
2008-02,,662,0,0,0,198,100,1,84,7,,2,6,0,3,,18,6,139,0,0,0,6,147,0,20,0,0,16,0,0,0,6,0,0,3,,,6,,,,,,,,,,,
2008-03,,747,0,0,0,260,101,2,83,12,,2,2,0,0,,11,2,151,0,0,0,5,176,1,19,0,0,9,0,0,1,11,0,0,0,,,6,,,,,,,,,,,
2008-04,,953,0,0,0,442,93,1,75,10,,3,4,0,0,,17,7,141,0,0,0,4,203,1,19,0,0,15,0,0,1,10,0,0,0,,,2,,,,,,,,,,,
2008-05,,962,0,0,0,450,69,1,51,11,,2,4,0,0,,14,8,172,1,0,0,5,210,2,9,1,0,11,0,0,0,7,1,0,2,,,48,,,,,,,,,,,
2008-06,,942,0,0,0,396,76,1,57,7,,4,7,0,0,,7,10,224,5,0,0,2,188,1,5,0,0,20,0,1,0,3,0,0,4,,,20,,,,,,,,,,,
2008-07,,985,0,0,0,372,93,1,73,11,,1,7,0,0,,2,4,239,33,0,1,5,207,0,2,0,0,13,0,0,0,6,5,0,3,,,24,,,,,,,,,,,
2008-08,,1014,0,0,0,400,98,0,73,17,,2,6,0,0,,3,6,213,54,0,0,9,200,0,4,0,0,19,0,0,0,4,3,0,1,,,9,,,,,,,,,,,
2008-09,,939,2,0,0,395,86,2,69,3,,3,9,0,0,,1,8,207,23,0,0,5,186,2,0,0,0,13,0,0,0,5,3,0,3,,,10,,,,,,,,,,,
2008-10,,1027,0,0,0,377,123,2,101,14,,3,3,0,0,,1,8,255,12,0,0,6,197,0,5,0,0,22,0,0,0,13,5,0,3,,,14,,,,,,,,,,,
