年份,甲乙丙类总计,甲乙类传染病合计,鼠疫,霍乱,传染性非典型肺炎,艾滋病,病毒性肝炎,甲型肝炎,乙型肝炎,丙型肝炎,丁型肝炎,戊型肝炎,未分型肝炎,脊髓灰质炎,人感染高致病性禽流感,甲型H1N1流感,麻疹,流行性出血热,狂犬病,流行性乙型脑炎,登革热,炭疽,细菌性和阿米巴性痢疾,肺结核,伤寒和副伤寒,流行性脑脊髓膜炎,百日咳,白喉,新生儿破伤风,猩红热,布鲁氏菌病,淋病,梅毒,钩端螺旋体病,血吸虫病,疟疾,人感染H7N9禽流感,新型冠状病毒肺炎,丙类传染病合计,流行性感冒,流行性腮腺炎,风疹,急性出血性结膜炎,麻风病,斑疹伤寒,黑热病,包虫病,丝虫病,其他感染性腹泻病,手足口病
2008,5262758,3541163,2,168,0,10059,1407664,56052,1169569,108446,,18525,55072,0,4,,131441,9039,2466,2975,202,336,312522,1169540,15641,922,2387,0,1786,27782,27767,130818,257474,862,2948,26358,,,1721595,41692,310826,120354,22743,395,2398,500,3033,0,730699,488955
2009,5898415,3499582,12,85,0,13281,1425020,43841,1179607,131849,,20275,49448,0,7,121843,52461,8745,2213,3913,305,351,271551,1076938,16938,625,1612,0,1412,22068,35816,119824,306381,562,3521,14098,,,2398833,198381,299329,69860,13707,424,2764,509,2676,0,655658,1155525
2010,6409962,3185932,7,157,0,15982,1317982,35277,1060582,153039,,23682,45402,0,1,7123,38159,9526,2048,2541,223,289,252248,991350,14041,325,1764,0,1057,20876,33772,105544,358534,677,4317,7389,,,3224030,64502,298932,43117,290767,381,2235,361,2515,0,746551,1774669
2011,6320099,3237558,1,24,0,20450,1372344,31456,1093335,173872,,29202,44479,20,1,9360,9943,10779,1917,1625,120,309,237930,953275,11798,228,2517,0,785,63878,38151,97954,395182,396,4483,4088,,,3082541,66133,454385,65549,34262,352,2360,293,2909,1,836591,1619706
2012,6951478,3216932,1,75,0,41929,1380800,24453,1087086,201622,,27271,40368,0,1,1072,6183,13308,1425,1763,575,237,207429,951508,11998,195,2183,0,656,46459,39515,91853,410074,440,4802,2451,,,3734546,122140,479518,40156,32333,430,2102,218,3234,0,885678,2168737
2013,6416418,3057463,0,53,0,42286,1251872,22244,962974,203155,,27902,35597,0,2,,27646,12810,1172,2178,4663,193,188669,904434,14136,213,1712,0,492,34207,43486,99659,406772,353,5699,3896,19,,3358955,129873,327759,17580,36387,402,1989,158,3841,0,1012589,1828377
2014,7184391,3075972,3,24,0,45145,1223021,25969,935702,202803,,26988,31559,0,3,,52628,11522,924,858,46864,248,153585,889381,13768,170,3408,0,426,54247,57222,95473,419091,498,4212,2921,330,,4108419,215533,187500,11793,41514,349,1670,291,3363,0,867545,2778861
2015,6408429,3046447,0,13,0,50330,1218946,22667,934215,207897,,27169,26998,0,6,,42361,10314,801,624,3858,288,138917,864015,11637,106,6658,0,306,68249,56989,100245,433974,355,34143,3116,196,,3361982,195723,182833,8133,34576,344,1461,507,3418,0,937616,1997371
2016,6944240,2956500,1,27,0,54360,1221479,21285,942268,206832,411,27922,22761,0,0,,24820,8853,644,1237,2050,374,123283,836236,10899,101,5584,0,177,59282,47139,115024,438199,354,2924,3189,264,,3987740,306682,175001,4535,34253,284,1160,305,4777,0,1018605,2442138
2017,7030879,3064073,1,14,0,57194,1283523,18875,1001952,214023,375,29014,19284,0,0,,5941,11262,516,1147,5893,318,109368,835193,10791,118,10390,0,93,74369,38554,138855,475860,201,1186,2697,589,,3966806,456718,252740,1605,34652,301,929,182,5485,0,1284644,1929550
2018,7770749,3063049,0,28,0,64170,1280015,16196,999985,219375,356,28603,15500,0,0,,3940,11966,422,1800,5136,336,91152,823342,10843,104,22057,0,83,78864,37947,133156,494867,157,144,2518,2,,4707700,765186,259071,3930,38250,225,971,160,4327,0,1282270,2353310
2019,10244507,3072338,5,16,0,71204,1286691,19271,1002292,223660,352,28155,12961,0,0,,2974,9596,290,416,22188,297,81075,775764,9274,111,30027,0,65,81737,44036,117938,535819,214,113,2487,1,,7172169,3538213,299961,32539,41439,233,1173,151,4003,0,1335627,1918830
2020,5806728,2673228,4,11,0,62167,1138781,14815,902476,194066,187,19034,8203,0,0,,856,8121,202,288,778,224,57820,670538,7011,50,4475,2,34,16564,47245,105160,464435,297,43,1051,0,87071,3133500,1145278,129120,2201,28471,200,1069,202,3327,0,1062277,761355
2021,6233537,2727288,1,5,0,60154,1226165,11979,976233,202771,249,26049,8884,0,0,,552,9187,157,207,41,392,50403,639548,7244,63,9611,0,23,29503,69767,127803,480020,403,13,783,0,15243,3506249,668246,119955,840,28350,180,1310,230,2799,1,1329790,1354548
